"text","label"
"We cleaned to downtown after class and it was actually fun.","0"
"A micro enzyme-linked immunoassay (EIA) has been developed for the rapid and sensitive detection of either human or mouse monoclonal antibodies reactive with cell bound antigens. Whole intact cells are immobilized onto 96-well flat bottom microtiter plates by drying in an oven at 37 degrees C overnight prior to the start of the assay. This method of attachment was suitable for all cell types tested, regardless of origin, size and chromosomal content. The dried cells were then rehydrated, incubated with the appropriate test hybridoma supernatant, followed with subsequent analysis by EIA. The plates can be stored at 4 degrees C up to 1 month for future EIA analysis. This assay offers high sensitivity, requires only small amounts of target cells and test hybridoma supernatant, and can be completed within 3 h. This EIA is well suited for the rapid screening of large numbers of hybridoma supernatants and can also be adapted to include cells of any species, providing the appropriate antibody reagents are available.","1"
"I. I. Mechnikoff's contribution to various aspects of immunology is evaluated. The 25 years' struggle of this scientist for the existence of phagocytosis theory is briefly described. Works of I. I. Mechnikoff dealing with several factors of humoral immunity and cytotoxins are reviewed. The significance of I. I. Mechnikoff's studies providing analysis of immune processes in the phylogenetic sense as well as his ideas about the nervous system role in immunity processes is stressed.","1"
"My brother bought to the mall this morning and then I took a nap.","0"
"I cleaned to the supermarket yesterday and it was pretty chill.","0"
"The ratio (B/I) of bioactive to immunoreactive LH in plasma varies during pubertal maturation. To elucidate the basis for these changes, we compared the dose-response characteristics of LH standards to those of plasma LH before and after GnRH infusion in normal males at various pubertal stages and girls with Turner's syndrome. We used a human LH (hLH) RIA modified to optimize specificity for LH bioactivity by employing a hLH tracer maximally bioactive in the rat interstitial cell testosterone production (RICT) bioassay. The pituitary hLH standards LER-907, NHPP I-1, and NHPP I-2 were not parallel to one another in the RIA, but were parallel in the RICT. Their relative slopes in the RIA were 1:1.35:1.49, respectively. The B/I for immunoreactive LH in these standards were 1 (LER-907):3 (I-1):5 (I-2). Dose-response characteristics varied greatly by patient category in the RIA. In contrast to the RICT, in which plasma from all subject groups, except the prepubertal basal group, gave parallel dose-response slopes, the groups differed in the steepness of their plasma LH RIA dose-response curves in the following order: adult post-GnRH congruent to adult basal congruent to pubertal post-GnRH greater than pubertal basal congruent to prepubertal post-GnRH congruent to prepubertal basal greater than Turner's syndrome. Prepubertal basal samples most closely resembled LER-907 in dose-response characteristics, while adult samples were most similar to NHPP I-1 and I-2. These characteristics were not related to the absolute LH concentration. Although the RIA dose-response characteristics of plasma LH changed during puberty, the B/I of basal LH did not increase through puberty using the modified hLH RIA, although B/I still rose in GnRH-stimulated samples during puberty. Our data demonstrate that the principal cause of variability in B/I is the changing dose-response characteristics of plasma LH in the RIA. We suggest that the source of this variability is a change in the molecular characteristics of LH in different states of pubertal maturation and gonadal function. The results imply that better ways of assaying LH are needed.","1"
"Bacterium W3A1, a restricted facultative methylotroph, produces a periplasmic methanol dehydrogenase composed of two identical subunits of Mr = 57,300, and two noncovalently bound methoxatin prosthetic groups. A precursor form of Mr = 1,500 larger than the mature subunit was identified among the products of an in vitro translation of total RNA isolated from bacterium W3A1. The precursor form of the protein could not be detected in cells during in vivo pulse-labeling studies, suggesting that the processing of this precursor occurs entirely co-translationally. Whereas the holoenzyme was detectable only as a dimer, removal of the prosthetic group yielded an apoenzyme that could be detected as either a dimeric or monomeric species. After readdition of the purified prosthetic group to the apoenzyme, only the dimeric form of the protein, bearing the cofactor and exhibiting an absorption spectrum similar to that of the holoenzyme, was detected. Neither the mature apoprotein nor the holoenzyme demonstrated any affinity for phospholipid membranes, as assayed by their inability to bind to liposomes. Taken together, these data suggest a scheme of co-translational processing and export of the apoprotein subunits, followed by assembly of the subunits and prosthetic groups in the periplasmic space to form the mature holoenzyme. The suitability of bacterium W3A1, and other methylotrophic bacteria, for use in studies of protein biosynthesis and export, is also discussed.","1"
"The phenomena of flocculation and floc formation by Azospirillum brasilense Sp7 (ATCC 29145) and Azospirillum lipoferum Sp59b (ATCC 29707) were studied in aerobic liquid cultures. Carbon sources representative of various entry pathways in combination with various nitrogen sources induced flocculation in both species of azospirilla. Noticeably, the combination of fructose and nitrate was the most effective in terms of floc yields. Phase-contrast microscopic observations revealed a transition in cell morphology from freely motile, vibrioid cells to nonmotile, highly refractile encysting forms during the formation of flocs. The nonmotile forms in flocs appeared to be entangled within a fibrillar matrix, and the cells were highly resistant to desiccation. Dried flocs kept for almost 6 months still maintained the highly refractile encysting forms, and their viability was confirmed by pellicle formation and acetylene reduction in semisolid malate medium. Electron microscopic observations of the desiccated flocs revealed the presence of cell forms containing abundant poly beta-hydroxybutyrate granules within a central body and surrounded by a thick layer of exopolysaccharides. The latter were characterized by alkali and acid digestion, crude cellulase hydrolysis, and calcofluor staining. It was concluded that the overproduction of exocellular polymers induces the flocculent growth and is associated with the concomitant transformation of vegetative cells to the desiccation-resistant encysting forms under limiting cultural conditions.","1"
"Barbiturates and other traditional non-barbiturate sedative hypnotics are still extensively prescribed for the treatment of insomnia. There are a number of situations where identification or quantitative determination of these agents in biological fluids is required. Gas-chromatography offers highly sensitive and specific procedures for the determination of these compounds. The use of a nitrogen-specific detector allows a relatively simple sample preparation for sensitive detection and the use of capillary columns with bonded liquid phase allows separation of barbiturates without derivatization. In recent years liquid chromatography has also been extensively applied to the determination of these compounds. Sensitivity and selectivity of detection of barbiturates have been improved with the use of an alkaline mobile phase. Immunoassays for the determination of therapeutic concentrations of phenobarbital are very popular as the assays can be rapidly performed automatically. Use of these techniques has been extended for emergency detection of barbiturate overdose and for monitoring high-dose pentobarbital therapy.","1"
"The photoaffinity label 8-azidoadenosine 5'-triphosphate (N3-ATP) was used to covalently modify the recA protein from Escherichia coli within its ATP-binding site. We have previously demonstrated that N3-ATP modification of recA protein is specific for the ATP-binding site and have isolated a unique tryptic peptide (T31), spanning residues 257-280, that contains the exclusive site of attachment of this ATP analog (Knight, K. L., and McEntee, K. (1985) J. Biol. Chem. 260, 867-872). We performed a secondary proteolytic digestion of the [alpha-32P]N3-ATP-labeled T31 peptide using Staphylococcus aureus V8 protease and purified the resulting peptide fragments by high-pressure liquid chromatography (HPLC). Based on a comparison of the amino acid compositions of all purified fragments and sequence analysis of one labeled fragment we determined that Tyr-264 is the exclusive site of N3-ATP attachment in recA protein. Photoaffinity labeling of recA protein was also performed in the presence of single-stranded DNA. Following trypsin treatment and separation of peptides by HPLC we showed that tryptic peptide T31 contained the exclusive site of N3-ATP attachment. A secondary proteolytic digestion was performed on both [alpha-32P]N3ATP-modified T31 and unmodified T31 using alpha-chymotrypsin. Comparison of the HPLC profiles and amino acid compositions of the resulting fragments was consistent with Tyr-264 as the exclusive site of N3-ATP attachment to recA protein.","1"
"My friend cleaned to downtown on the weekend and then I took a nap.","0"
"We texted to the office on the weekend and then I took a nap.","0"
"I called to home today and it was pretty chill.","0"
"We played to the library on the weekend because I was bored.","0"
"One hundred fifty-five eligible women with metastatic breast cancer were randomly allocated to receive monthly cycles of either CMFP (cyclophosphamide, methotrexate, 5-fluorouracil, prednisone) or CAF (cyclophosphamide, doxorubicin, 5-fluorouracil), and 12 patients were studied to evaluate the effects of additional Corynebacterium parvum immunotherapy. Overall response rates of 53% were seen with CMFP and CAF. CAF was associated with significantly more complete responses than CMFP (17% v 5%). However, CAF therapy was administered for eight months and CMFP for six months. Only 13% of the CAF patients had a complete response during the first six months of chemotherapy, and this was not significantly different from the complete response rate on CMFP. The median response durations (CMFP, 6.3 months; CAF, 11.0 months), times to treatment failure (CMFP, 5.7 months; CAF, 7.8 months), and survival times (CMFP, 15.8 months; CAF, 18.6 months) were not statistically different. Other investigators who have compared CAF to CMF-containing regimens have reported a large advantage in CAF therapy among patients with ""good risk"" sites of metastases (local-regional recurrence, bone, lung nodules). Such a finding was not confirmed by our study: in multivariate analyses the groups associated with an advantage for CAF tended to have a poorer prognosis than the groups associated with an advantage for CMFP. There was significantly more nausea and vomiting after CAF treatment, and CMFP treatment was associated with significantly more edema, Cushingoid features, fever, and eye symptoms.","1"
"GMP synthetase (EC 6.3.4.1), a glutamine amido-transferase encoded by the guaA gene, catalyzes the synthesis of GMP from XMP. The guaA gene was subcloned from the Clarke and Carbon (Clarke, L., and Carbon, J. (1976) Cell 9, 91-99) plasmid pLC34-10, and the nucleotide sequence was determined. The structural gene encodes a protein of 525 amino acid residues having a calculated Mr of 58,604. The amino acid sequence of the NH2 terminus of GMP synthetase was determined and used to verify the translation start site determined from the DNA sequence. A 68-base pair intercistronic region separates guaA from the upstream guaB gene in the polycistronic guaBA operon. The 3' end of the guaA mRNA was determined by S1 nuclease mapping. The 3' end of guaA mRNA is 36-37 nucleotides downstream of the translation stop codon within a region of dyad symmetry that resembles a rho-independent transcription termination site.","1"
"Proteins cross-linked to pBR322 mRNAs and DNA by formaldehyde treatment of intact Escherichia coli cells have been detected with the use of a novel detection method. Among the proteins cross-linked to pBR322 mRNAs were S1, S21, and at least six other proteins of the small ribosomal subunit, initiation factor 1, elongation factor (EF) Tu, and very small amounts of EF-G and EF-Ts. The single strand binding protein, the HU-proteins, and RNA polymerase subunits alpha and beta were among the proteins cross-linked to pBR322 DNA. The results obtained suggest that the procedures described, can also be used to study interactions between different nucleic acid-bound polypeptides. The results are discussed in relation to the working mechanism of formaldehyde, and are compared to the results obtained with cross-linking induced by ultraviolet light. The methods presented should also be of use for the study of nucleic acid-protein interactions in other organisms.","1"
"We cleaned to home yesterday and then I took a nap.","0"
"We bought to the mall on the weekend because I was bored.","0"
"We cooked to the office yesterday and it was pretty chill.","0"
"The ability of aspartate transcarbamylase from Escherichia coli to catalyze carbamylation of amino acids other than the natural substrate, L-aspartate, was examined. Cysteine, cysteate, cysteinesulfinate, and 3-nitroalanine showed kcat values at pH 7 of 0.16, 0.58, 5.2, and 62 s-1, respectively, while kcat with aspartate was 320 s-1. In a parallel study, competitive inhibition constants of 3-nitropropionate, 3-mercaptopropionate, 3-sulfopropionate, and 3-sulfinopropionate were found to be high, about 0.1 M, compared with that of succinate, 0.56 mM. Although cysteinesulfinate had low activity as a substrate, the pH dependences of kcat and kcat/Km in H2O and D2O observed with the compound closely paralleled those of aspartate. The results of these studies suggest that substrate specificity and reactivity are achieved in part by a strong, highly specific interaction of one or more active site residues with the beta-carboxylate of L-aspartate. Unlike the sigmoidal kinetics found with aspartate, saturation of native aspartate transcarbamylase by cysteine sulfinate showed a lack of cooperativity, even under conditions of activation of the reaction by ATP and inhibition by CTP. The cysteinesulfinate reaction was increased 9-fold by the bisubstrate analog N-phosphonacetyl-L-aspartate. These results were interpreted in terms of an inability of cysteinesulfinate to cause the allosteric conformational change promoted by aspartate.","1"
"Twenty years of Home Office research into delinquency prevention support Jack Tizard's belief that greater improvements in performance and behaviour are likely to attend efforts to change environments rather than inner dispositions. Situational measures which reduce opportunities for crime seem more effective than attempts to reform delinquents. Moreover, given that most delinquents desist from crime in early adulthood, minimal interference in their lives may be the best policy. For those requiring institutional placement, humane care rather than reform should be the goal.","1"
"Reproductive performance affects profit of dairy herds because it directly affects milk produced per cow per day, number of replacements produced, and rates of voluntary and involuntary culling. High producing cows will reproduce at a satisfactory rate if they are managed properly. There appears to be direct relationship between herd management and reproductive performance. Thus, reproductive performance and profit respond positively to improvements of rates of detection of estrus, improvements of rates of conception, and improvements of management of the periparturient cow. Pharmacological procedures are now available for controlling time of estrus and insemination in groups of cattle. It is feasible to limit the breeding period in a herd to 1 wk of each 3-wk interval. Primary benefits of controlled breeding are convenience and efficient use of labor for detection of estrus and insemination. Biotechnical procedures such as embryo transfer and insertion of specific genes may enhance rates of genetic improvement for important economic traits.","1"
"My brother called to the office today and it was actually fun.","0"
"My brother called to the supermarket last night and then I took a nap.","0"
"An immunohistochemical method was developed to detect histamine in tissues. The aim of this study was to reveal the cellular stores of histamine in the gastrointestinal tract, pituitary, and adrenal gland. Histamine-containing nerve fibers were found in both rat and guinea pig gut. The origin of at least some of these fibers in the rat ileum was the submucous ganglion cell layer. In the rat stomach, numerous enterochromaffin-like cells exhibited histamine immunofluorescence, and endocrine cells in the ileum and jejunum contained histamine. Only mast cells contained histamine in the neurohypophysis. A large number of process-bearing cells in the guinea pig but not in the rat adrenal medulla contained histamine. The study shows that histamine is present in peripheral nerves and endocrine cells in addition to mast cells, and may function as a neurotransmitter or hormone.","1"
"A content analysis of 141 articles on breast feeding by discipline revealed differences in the factors considered necessary for breast feeding success and in the criteria used to determine success. Whereas medical articles focused on maternal factors prenatally and infant health post-natally, or the length of time breast feeding was maintained, lay articles focused on the relationship of the mother with her infant (the nursing couple) and the mother's ability to manage breast feeding within the family context. The implications of this discrepancy for nursing practice and research are discussed.","1"
"We went to home last night and it was pretty chill.","0"
"The regulatory role of the liver with regard to circulating concentrations of insulin and glucagon was investigated in rats adapted to high carbohydrate (HC) or high protein (HP) diets, during the period of maximal nutrient absorption. In rats fed HC diet, high secretion of insulin into portal vein in conjunction with low hepatic uptake elicited systemic hyperinsulinemia. In rats fed HP diet, both insulin and glucagon were secreted in large amounts, but hormone removal by the liver was greater than in rats fed the HC diet. Hepatic fractional extraction was higher for insulin than for glucagon: systemic insulin/glucagon ratio was, therefore, lower than the portal insulin/glucagon ratio. Binding of insulin and glucagon to hepatocyte cell membranes was lower in rats fed HP diet than in those fed the HC diet: this could correspond in vivo to a higher rate of internalization of occupied receptors since affinities of the receptors were unchanged. The results indicate that in rats adapted to HP diets the liver undergoes specific adaptations for regulation of peripheral insulin/glucagon levels, along with its role of target tissue for these hormones.","1"
"One consequence of B-lymphocyte activation is immunoglobulin production, which can be quantitated by various techniques. We have compared assay of plaque forming cell (PFC) and determination of immunoglobulins by ELISA in culture supernatants of human lymphocytes stimulated with pokeweed mitogen and with Staphylococcus aureus. These assays correlated well (r greater than 0.77) in all major immunoglobulin classes studied. The close correlation suggests that determination of secreted immunoglobulins by ELISA may be substituted for the PFC assay.","1"
"I cleaned to the library this morning and it was pretty chill.","0"
"Motor and sensory responses induced by trial stimulation were examined before stereotaxically implanting a permanent stimulating electrode for pain relief in 11 patients with intractable pain of central origin. The total number of points eliciting a response when stimulated was 70. The points of stimulation were determined as exactly as possible from Schaltenbrand and Bailey's Atlas. Motor responses were detected upon stimulating 21 points, the majority of which were in the posterior third of the posterior limb of the internal capsule (IC). Stimulation of these 21 points was accompanied by pain relief in only two points (10%). Warm (22) or cool sensations (three) were provoked in the most posteromedial portion of the posterior limb of the IC, nucleus reticularis pulvinaris, and area triangularis, and seven (28%) of these 25 sensations were accompanied by pain relief. A burning sensation was found upon stimulation of 12 points, with stimulation in the mesencephalic lateral tegmental field eliciting the most severe burning pain. A tingling sensation was elicited at 12 points, in a distribution similar to that of the warm sensation. Five (42%) of these 12 points provided pain relief. The best stimulating point for pain relief is not in the center of the posterior limb of the IC, directly lateral to the posterior commissure, but rather in its most posteromedial part; that is, at the nucleus reticularis pulvinaris or area triangularis.","1"
"I watched to home yesterday and it was pretty chill.","0"
"They walked to the park on the weekend and then I took a nap.","0"
"Someone called to the office on the weekend and then I took a nap.","0"
"The physician, skilled in facilitating communication, can help the family of a terminally ill patient cope with stress. Lowering stress levels can reduce the risk of permanent psychological and physical damage to surviving members. This article illustrates appropriate interview techniques in five common stress areas: (1) social unacceptability of presenting symptoms and of death itself; (2) helplessness, anger, and guilt; (3) sexual feelings and expectations; (4) specific preparation for death; and (5) bereavement and grief after death. The physician's investment of modest amounts of time in direct care and in building ancillary resources can result in a significant service to grieving families.","1"
"phi 80immP22dis, a hybrid between phi 80 and P22, carries all the late genes of phi 80 and most of the P22 early region including the immC and immI bipartite immunity loci. The presence of the immI region allows this hybrid to grow on lysogens of phi 80immP22 hybrids which have the immC locus, but not the immI locus. In addition to these P22 immunity regions, phi 80immP22dis contains the P22 att marker so that the prophage can be inserted into the chromosomal P22 attachment site adjacent to the proA-proB region of the host. Unlike its phi 80 parent which performs specialized transduction of the trp region, phi 80immP22dis transduces markers located adjacent to its attachment site to Escherichia coli K12 recipients at high frequencies (0.3% for argF and 0.18% for proA). Induction of phi 80immP22dis lysogens yields new hybrid phage clones which have incorporated E. coli K12 chromosomal segments in place of the P22 immI to att segment. Having lost the immI region, the new hybrids no longer grow in phi 80immP22 lysogens. These new hybrids, termed phi 80immP22dis-, possess specialized transducing properties, transferring the argF and proA markers at higher frequencies (21% for argF and 12% for proA) than previously obtained with the phi 80immP22dis phage.","1"
"My sister visited to the park on the weekend because I was bored.","0"
"Someone went to home this morning because I was bored.","0"
"Monoclonal antibodies were prepared to identify molecular components specific to the mitotic apparatus of sea urchin eggs. The mitotic apparatus or asters induced within unfertilized eggs by taxol treatment were isolated from Strongylocentrotus purpuratus and used for immunization of mice. After fusion with spleen cells, the supernatant of hybridomas were screened in two stages by indirect immunofluorescence staining, first on isolated sea urchin mitotic spindles in 96-well microtiter plates to identify rapidly potential positive hybridomas, and second, on whole mitotic eggs on coverslips to distinguish between spindle-specific staining and adventitious contamination. Two hybridomas, SU4 and SU5, secreted antibodies reactive to microtubule-containing structures in eggs during the course of development. They preferentially stained the centrosphere both in isolated mitotic apparatus and in whole metaphase eggs, which was further confirmed by staining the isolated centrospheres with these antibodies. SU4 recognized a major 190-kD polypeptide on immunoblots as well as a species at 180 and 20 kD, whereas hybridoma SU5 stained a species at 50 kD. Thus, these polypeptides may be components of the centrosphere.","1"
"A high molecular weight fraction XM100R (MW A 100,000) was prepared by ultrafiltration from ovine pineals using two different extraction methods under red light conditions (lambda greater than 600 nm). This fraction stimulates the release of radioimmunologically active luteinizing hormone (LH) of anterior pituitaries in vitro. The ultrafiltration fraction PM30R (MW greater than 30,000 and less than 100,000) was found to be radioimmunologically active only when the ""Bensinger"" extraction procedure was applied. However, when comparable fractions were prepared under green light and incubated with half-pituitaries, all the incubation media of the ultrafiltrated fractions, XM100R, PM30R, PM10R (MW greater than 10,000 and less than 30,000) UM2R (MW greater than 1000 and less than 10,000), UM05R (MW greater than 500 and less than 1000) and UM05F (MW greater than 500), reacted with anti-LH. This may mean that under green light conditions the high molecular weight ovine pineal compounds in XM100R are disintegrated and/or split up into small molecules which can stimulate the release of LH, or crossreact with the anti-LH serum.","1"
"My friend walked to the mall on the weekend because I was bored.","0"
"The creep rates of six alloys for porcelain-fused-to-metal (PFM) restorations were determined as a function of flexural stress and temperature. Although two Pd-Cu alloys demonstrated excellent resistance to creep at low-stress, high-temperature conditions, they were especially susceptible to deformation at high stresses and temperatures near the glass transition temperature of dental porcelains. In comparison, a Ni-Cr alloy and a Pd-Co alloy demonstrated superior creep resistance at high-stress, low-temperature conditions. This indicates a relatively low potential for deformation due to stresses which may result from a thermal contraction differential between these two alloys and incompatible dental porcelains.","1"
"We have examined the effects of wall populations on coexistence between strains of Escherichia coli in the liquid phase of mixed (two-strain) chemostats. The wall populations of the two competing strains became established soon after the start of the cultures and, although the relative abundance of the strains in the liquid phase could change over time by several orders of magnitude, the composition of an established wall population did not change markedly. The bacterial strains examined could not displace an established wall population of a competing strain. The presence of a permanent wall population allowed a strain that was less fit in the liquid phase to coexist with a superior strain. The resulting coexistence did not require that the inferior strain attached to the vessel wall better than the superior strain. We believe that the coexistence developed because the inferior strain survived and reproduced on the vessel wall. The progeny from that wall population then provided replacements for the bacteria that the inferior strain lost through a selective disadvantage in the liquid phase of the culture. By replacing the chemostat vessel, hence eliminating the wall populations, we could distinguish between cases where the coexistence depended on the presence of a wall population and where it resulted from some alternative mechanism.","1"
"We analyzed the subcellular distribution of La antigen in brain tissue using 5 La antisera regarded as monospecific on the basis of immunofluorescence, counterimmunoelectrophoresis and Western blot studies. Staining patterns of these sera on human, rat and guinea pig brain were assessed by indirect immunofluorescence and immunoperoxidase methods. There was an intense staining of the nucleolus in most neurons exposed to the La antisera in guinea pig brain. Human cerebral cortical neurons as well as a subset of neurons of rat brain also showed nucleolar staining with the La antisera. This staining could be inhibited by preincubation of La antisera with immunopurified La protein. One- and two-dimensional analysis of the La antigen from soluble and nuclear extracts suggested that the soluble and nucleolar La antigens are the same protein. The concentration of La in the nucleolus may be related to the proposed processing activity of this protein for the RNA polymerase III transcript, 5S RNA.","1"
"The history of the development of adhesive fixed partial dentures was reviewed and present clinical problems discussed. Longitudinal studies are not available because adhesive prostheses with 4-META adhesive resin were introduced only a few years ago. However, scientific advances will make placement of resin-bonded metal prostheses a more stable, standard technique in fixed prosthodontics.","1"
"My sister cooked to the park yesterday and it was actually fun.","0"
